dataTimestamp,axis1,axis2,axis3,steps,lux,inclineOff,inclineStanding,inclineSitting,inclineLying
636519528000000000,1017.0,631.0,736.0,12.0,0.0,0.0,10.0,0.0,0.0
636519528100000000,732.0,658.0,504.0,11.0,0.0,0.0,10.0,0.0,0.0
636519528200000000,843.0,927.0,1016.0,8.0,0.0,0.0,10.0,0.0,0.0
636519528300000000,1097.0,977.0,1097.0,5.0,28.0,0.0,10.0,0.0,0.0
636519528400000000,830.0,812.0,312.0,3.0,0.0,0.0,10.0,0.0,0.0
636519528500000000,165.0,350.0,337.0,3.0,0.0,0.0,10.0,0.0,0.0
636519528600000000,521.0,326.0,661.0,4.0,0.0,0.0,10.0,0.0,0.0
636519528700000000,437.0,534.0,936.0,3.0,31.0,0.0,10.0,0.0,0.0
636519528800000000,602.0,948.0,1128.0,5.0,57.0,0.0,10.0,0.0,0.0
636519528900000000,7.0,675.0,607.0,1.0,0.0,4.0,0.0,0.0,6.0
636519529000000000,133.0,951.0,626.0,2.0,0.0,0.0,10.0,0.0,0.0
636519529100000000,1123.0,609.0,1577.0,5.0,29.0,0.0,10.0,0.0,0.0
636519529200000000,23.0,108.0,79.0,1.0,31.0,0.0,7.0,3.0,0.0
636519529300000000,270.0,90.0,672.0,2.0,0.0,0.0,10.0,0.0,0.0
636519529400000000,0.0,43.0,70.0,0.0,26.0,0.0,10.0,0.0,0.0
636519529500000000,53.0,273.0,107.0,1.0,0.0,0.0,5.0,5.0,0.0
636519529600000000,0.0,15.0,11.0,0.0,0.0,0.0,5.0,5.0,0.0
636519529700000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519529800000000,42.0,114.0,89.0,2.0,0.0,0.0,8.0,2.0,0.0
636519529900000000,25.0,122.0,70.0,1.0,0.0,0.0,5.0,5.0,0.0
636519530000000000,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0
636519530100000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519530200000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519530300000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519530400000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519530500000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519530600000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519530700000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519530800000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519530900000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519531000000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519531100000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519531200000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519531300000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519531400000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519531500000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519531600000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519531700000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519531800000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519531900000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519532000000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519532100000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519532200000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519532300000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519532400000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519532500000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519532600000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519532700000000,0.0,0.0,7.0,0.0,0.0,0.0,8.0,2.0,0.0
636519532800000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
636519532900000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
636519533000000000,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
636519533100000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519533200000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519533300000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519533400000000,170.0,115.0,162.0,5.0,0.0,0.0,10.0,0.0,0.0
636519533500000000,629.0,250.0,311.0,16.0,0.0,0.0,10.0,0.0,0.0
636519533600000000,700.0,351.0,330.0,16.0,0.0,0.0,10.0,0.0,0.0
636519533700000000,281.0,210.0,277.0,7.0,0.0,0.0,10.0,0.0,0.0
636519533800000000,38.0,181.0,167.0,1.0,0.0,0.0,4.0,6.0,0.0
636519533900000000,235.0,299.0,274.0,7.0,0.0,0.0,10.0,0.0,0.0
636519534000000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519534100000000,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
636519534200000000,0.0,24.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0
636519534300000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
636519534400000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
636519534500000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
636519534600000000,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
636519534700000000,190.0,400.0,267.0,3.0,0.0,0.0,10.0,0.0,0.0
636519534800000000,250.0,364.0,481.0,6.0,0.0,0.0,10.0,0.0,0.0
636519534900000000,219.0,515.0,339.0,4.0,0.0,0.0,10.0,0.0,0.0
