INDEX,TRACK ID,VALID,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,LATITUDE,N/S,LONGITUDE,E/W,ALTITUDE,SPEED,HEADING,G-X,G-Y,G-Z
43,1,FIXED,1/19/2018,21:51:05,1/19/2018,13:51:05,0,47.661304,N,-117.40519,W,574.90448,4.494101,100.584589,0,0,0
44,1,FIXED,1/19/2018,21:51:15,1/19/2018,13:51:15,0,47.661291,N,-117.405092,W,578.054016,5.024938,45.879697,0,0,0
45,1,FIXED,1/19/2018,21:51:25,1/19/2018,13:51:25,0,47.661406,N,-117.404916,W,577.024658,5.332929,49.528437,0,0,0
46,1,FIXED,1/19/2018,21:51:35,1/19/2018,13:51:35,0,47.661513,N,-117.404731,W,577.774414,5.501856,42.432134,0,0,0
47,1,FIXED,1/19/2018,21:51:45,1/19/2018,13:51:45,0,47.661632,N,-117.404569,W,576.976196,5.393118,46.698892,0,0,0
48,1,FIXED,1/19/2018,21:51:55,1/19/2018,13:51:55,0,47.661738,N,-117.404402,W,576.695007,7.253915,65.004333,0,0,0
49,1,FIXED,1/19/2018,21:52:05,1/19/2018,13:52:05,0,47.661796,N,-117.404215,W,573.888306,5.31639,91.173199,0,0,0
50,1,FIXED,1/19/2018,21:52:15,1/19/2018,13:52:15,0,47.661794,N,-117.404048,W,574.864014,4.993338,53.68536,0,0,0
51,1,FIXED,1/19/2018,21:52:25,1/19/2018,13:52:25,0,47.661879,N,-117.403876,W,571.458374,3.576559,50.977907,0,0,0
52,1,FIXED,1/19/2018,21:52:35,1/19/2018,13:52:35,0,47.661959,N,-117.403729,W,571.574463,3.403759,8.126981,0,0,0
53,1,FIXED,1/19/2018,21:52:45,1/19/2018,13:52:45,0,47.662051,N,-117.40371,W,574.447937,2.978014,38.979261,0,0,0
54,1,FIXED,1/19/2018,21:52:55,1/19/2018,13:52:55,0,47.662112,N,-117.403635,W,574.26825,3.451907,121.978481,0,0,0
55,1,FIXED,1/19/2018,21:53:05,1/19/2018,13:53:05,0,47.662107,N,-117.403622,W,575.530823,2.892264,50.991881,0,0,0
56,1,FIXED,1/19/2018,21:53:15,1/19/2018,13:53:15,0,47.662152,N,-117.40354,W,576.34137,7.312976,290.214961,0,0,0
57,1,FIXED,1/19/2018,21:53:48,1/19/2018,13:53:48,0,47.662341,N,-117.404302,W,566.126282,4.99206,21.699339,0,0,0
58,1,FIXED,1/19/2018,21:53:58,1/19/2018,13:53:58,0,47.662645,N,-117.404122,W,574.485291,10.221148,343.87553,0,0,0
59,1,FIXED,1/19/2018,21:54:08,1/19/2018,13:54:08,0,47.662664,N,-117.40413,W,574.261292,3.524863,189.037351,0,0,0
60,1,FIXED,1/19/2018,21:54:18,1/19/2018,13:54:18,0,47.662519,N,-117.404165,W,574.682556,5.15505,147.041436,0,0,0
61,1,FIXED,1/19/2018,21:54:28,1/19/2018,13:54:28,0,47.662388,N,-117.404038,W,575.36853,4.240951,132.161417,0,0,0
62,1,FIXED,1/19/2018,21:54:38,1/19/2018,13:54:38,0,47.662276,N,-117.403854,W,575.573242,1.119311,14.932056,0,0,0
63,1,FIXED,1/19/2018,21:54:48,1/19/2018,13:54:48,0,47.662338,N,-117.40383,W,575.36676,4.106919,178.239386,0,0,0
64,1,FIXED,1/19/2018,21:54:58,1/19/2018,13:54:58,0,47.662209,N,-117.403824,W,575.179626,0.851826,126.079422,0,0,0
65,1,FIXED,1/19/2018,21:55:08,1/19/2018,13:55:08,0,47.662189,N,-117.403783,W,574.898743,0.879819,287.648445,0,0,0
66,1,FIXED,1/19/2018,21:55:18,1/19/2018,13:55:18,0,47.662202,N,-117.403843,W,575.444946,2.267153,58.93507,0,0,0
67,1,FIXED,1/19/2018,21:55:28,1/19/2018,13:55:28,0,47.662264,N,-117.40369,W,577.191711,4.379564,65.732704,0,0,0
68,1,FIXED,1/19/2018,21:55:38,1/19/2018,13:55:38,0,47.662282,N,-117.403633,W,576.861511,1.817515,50.147299,0,0,0
69,1,FIXED,1/19/2018,21:55:48,1/19/2018,13:55:48,0,47.662313,N,-117.403577,W,575.349365,2.327316,47.584471,0,0,0
70,1,FIXED,1/19/2018,21:55:58,1/19/2018,13:55:58,0,47.662376,N,-117.403475,W,574.423767,3.664886,107.614644,0,0,0
