INDEX,TRACK ID,VALID,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,LATITUDE,N/S,LONGITUDE,E/W,ALTITUDE,SPEED,HEADING,G-X,G-Y,G-Z
1,1,FIXED,1/23/2018,0:06:09,1/22/2018,16:06:09,0,47.661436,N,-117.403857,W,547.0755,6.620706,219.165525,0,0,0
2,1,FIXED,1/23/2018,0:06:19,1/22/2018,16:06:19,0,47.660985,N,-117.404402,W,549.289673,35.910057,30.384895,0,0,0
3,1,FIXED,1/23/2018,0:08:06,1/22/2018,16:08:06,0,47.661772,N,-117.403717,W,533.376038,2.398144,94.912131,0,0,0
4,1,FIXED,1/23/2018,0:08:16,1/22/2018,16:08:16,0,47.661766,N,-117.403613,W,539.866821,1.972878,41.235007,0,0,0
5,1,FIXED,1/23/2018,0:08:26,1/22/2018,16:08:26,0,47.661936,N,-117.403392,W,543.926758,1.538539,151.221364,0,0,0
6,1,FIXED,1/23/2018,0:08:36,1/22/2018,16:08:36,0,47.66183,N,-117.403306,W,547.090149,2.552957,162.549224,0,0,0
7,1,FIXED,1/23/2018,0:08:46,1/22/2018,16:08:46,0,47.661799,N,-117.403291,W,548.859924,2.512608,177.929196,0,0,0
8,1,FIXED,1/23/2018,0:08:56,1/22/2018,16:08:56,0,47.661781,N,-117.403291,W,549.225952,1.430066,5.563265,0,0,0
9,1,FIXED,1/23/2018,0:09:06,1/22/2018,16:09:06,0,47.661828,N,-117.403284,W,549.238403,1.771464,348.438732,0,0,0
10,1,FIXED,1/23/2018,0:09:16,1/22/2018,16:09:16,0,47.661894,N,-117.403304,W,549.376221,1.990539,331.184599,0,0,0
11,1,FIXED,1/23/2018,0:09:26,1/22/2018,16:09:26,0,47.661934,N,-117.403337,W,549.395264,0.738638,306.953314,0,0,0
12,1,FIXED,1/23/2018,0:09:36,1/22/2018,16:09:36,0,47.661961,N,-117.403389,W,549.317261,4.004189,97.353425,0,0,0
13,1,FIXED,1/23/2018,0:09:46,1/22/2018,16:09:46,0,47.661951,N,-117.403274,W,549.228394,0.293817,55.77229,0,0,0
14,1,FIXED,1/23/2018,0:09:56,1/22/2018,16:09:56,0,47.661998,N,-117.40317,W,548.928589,2.701545,189.273144,0,0,0
15,1,FIXED,1/23/2018,0:10:06,1/22/2018,16:10:06,0,47.661924,N,-117.403188,W,548.799377,1.637589,79.094791,0,0,0
16,1,FIXED,1/23/2018,0:10:16,1/22/2018,16:10:16,0,47.661931,N,-117.403135,W,548.767395,1.092447,292.727821,0,0,0
17,1,FIXED,1/23/2018,0:10:26,1/22/2018,16:10:26,0,47.661974,N,-117.403288,W,548.715576,1.853063,194.339263,0,0,0
18,1,FIXED,1/23/2018,0:10:36,1/22/2018,16:10:36,0,47.661906,N,-117.403314,W,548.749084,1.777079,280.660267,0,0,0
19,1,FIXED,1/23/2018,0:10:46,1/22/2018,16:10:46,0,47.661907,N,-117.403321,W,548.930176,2.636655,99.919019,0,0,0
20,1,FIXED,1/23/2018,0:10:56,1/22/2018,16:10:56,0,47.661897,N,-117.403234,W,548.549683,0.1277,237.474371,0,0,0
21,1,FIXED,1/23/2018,0:11:06,1/22/2018,16:11:06,0,47.661893,N,-117.403243,W,548.559143,0.843144,249.446855,0,0,0
22,1,FIXED,1/23/2018,0:11:16,1/22/2018,16:11:16,0,47.661887,N,-117.403265,W,548.560425,0.645106,341.496017,0,0,0
23,1,FIXED,1/23/2018,0:11:26,1/22/2018,16:11:26,0,47.661907,N,-117.403274,W,548.84436,0.333718,190.707311,0,0,0
24,1,FIXED,1/23/2018,0:12:09,1/22/2018,16:12:09,0,47.661152,N,-117.403487,W,621.194946,3.205815,319.515508,0,0,0
25,1,FIXED,1/23/2018,0:12:19,1/22/2018,16:12:19,0,47.661318,N,-117.403697,W,620.385132,1.928868,46.141982,0,0,0
26,1,FIXED,1/23/2018,0:12:29,1/22/2018,16:12:29,0,47.661434,N,-117.403517,W,617.764832,6.955627,310.909377,0,0,0
27,1,FIXED,1/23/2018,0:12:39,1/22/2018,16:12:39,0,47.661686,N,-117.403948,W,616.043335,3.752548,302.539264,0,0,0
28,1,FIXED,1/23/2018,0:12:49,1/22/2018,16:12:49,0,47.661863,N,-117.40436,W,615.039185,7.008743,323.365225,0,0,0
29,1,FIXED,1/23/2018,0:12:59,1/22/2018,16:12:59,0,47.66205,N,-117.404567,W,615.039673,6.398479,320.684069,0,0,0
30,1,FIXED,1/23/2018,0:13:09,1/22/2018,16:13:09,0,47.662189,N,-117.404736,W,615.518616,7.077682,319.993671,0,0,0
31,1,FIXED,1/23/2018,0:13:19,1/22/2018,16:13:19,0,47.662325,N,-117.404905,W,615.382996,5.103511,310.696519,0,0,0
32,1,FIXED,1/23/2018,0:13:29,1/22/2018,16:13:29,0,47.662441,N,-117.405105,W,614.423889,5.991153,308.725843,0,0,0
33,1,FIXED,1/23/2018,0:13:39,1/22/2018,16:13:39,0,47.662553,N,-117.405313,W,608.654663,6.303185,302.935081,0,0,0
34,1,FIXED,1/23/2018,0:13:49,1/22/2018,16:13:49,0,47.662677,N,-117.405598,W,599.715332,6.292594,282.684266,0,0,0
35,1,FIXED,1/23/2018,0:13:59,1/22/2018,16:13:59,0,47.662718,N,-117.405868,W,590.855591,6.178042,262.334445,0,0,0
36,1,FIXED,1/23/2018,0:14:09,1/22/2018,16:14:09,0,47.662695,N,-117.40612,W,581.557495,6.353755,247.808128,0,0,0
37,1,FIXED,1/23/2018,0:14:19,1/22/2018,16:14:19,0,47.66263,N,-117.406357,W,571.139343,5.492529,239.432211,0,0,0
38,1,FIXED,1/23/2018,0:14:29,1/22/2018,16:14:29,0,47.662548,N,-117.406564,W,566.292969,6.100387,236.744951,0,0,0
39,1,FIXED,1/23/2018,0:14:39,1/22/2018,16:14:39,0,47.662457,N,-117.406769,W,558.993652,6.286691,238.49923,0,0,0
40,1,FIXED,1/23/2018,0:14:49,1/22/2018,16:14:49,0,47.66237,N,-117.40698,W,556.789368,6.49329,235.118909,0,0,0
41,1,FIXED,1/23/2018,0:14:59,1/22/2018,16:14:59,0,47.662265,N,-117.407204,W,552.057556,5.760295,251.398607,0,0,0
42,1,FIXED,1/23/2018,0:15:09,1/22/2018,16:15:09,0,47.662223,N,-117.40739,W,552.869507,3.466443,269.083197,0,0,0
43,1,FIXED,1/23/2018,0:15:19,1/22/2018,16:15:19,0,47.662221,N,-117.407545,W,553.897095,0.932382,269.221388,0,0,0
44,1,FIXED,1/23/2018,0:15:29,1/22/2018,16:15:29,0,47.662221,N,-117.407547,W,554.288757,0.136811,269.221388,0,0,0
45,2,FIXED,1/23/2018,15:47:28,1/23/2018,7:47:28,0,47.67926,N,-117.374103,W,150.537628,6.124962,49.86783,0,0,0
46,2,FIXED,1/23/2018,15:47:38,1/23/2018,7:47:38,0,47.680988,N,-117.371058,W,564.147522,6.321236,248.804707,0,0,0
47,2,FIXED,1/23/2018,15:47:48,1/23/2018,7:47:48,0,47.680935,N,-117.37126,W,564.927612,5.560472,262.719155,0,0,0
48,2,FIXED,1/23/2018,15:47:58,1/23/2018,7:47:58,0,47.680917,N,-117.37147,W,564.673035,5.939544,273.708022,0,0,0
49,2,FIXED,1/23/2018,15:48:08,1/23/2018,7:48:08,0,47.680923,N,-117.371614,W,566.267212,5.95936,263.40586,0,0,0
50,2,FIXED,1/23/2018,15:48:18,1/23/2018,7:48:18,0,47.680907,N,-117.371824,W,566.410034,5.313293,248.921028,0,0,0
51,2,FIXED,1/23/2018,15:48:28,1/23/2018,7:48:28,0,47.680864,N,-117.371987,W,565.959412,4.584626,280.890434,0,0,0
52,2,FIXED,1/23/2018,15:48:38,1/23/2018,7:48:38,0,47.68089,N,-117.372182,W,565.723145,5.678647,281.733907,0,0,0
53,2,FIXED,1/23/2018,15:48:48,1/23/2018,7:48:48,0,47.680918,N,-117.372384,W,566.677856,5.705513,271.594648,0,0,0
54,2,FIXED,1/23/2018,15:48:58,1/23/2018,7:48:58,0,47.680922,N,-117.372584,W,567.422119,6.274867,253.645063,0,0,0
55,2,FIXED,1/23/2018,15:49:08,1/23/2018,7:49:08,0,47.68088,N,-117.372797,W,567.909119,6.186533,256.706317,0,0,0
56,2,FIXED,1/23/2018,15:49:18,1/23/2018,7:49:18,0,47.680847,N,-117.373005,W,567.921448,5.088156,269.019438,0,0,0
57,2,FIXED,1/23/2018,15:49:28,1/23/2018,7:49:28,0,47.680844,N,-117.373218,W,567.42511,5.332979,265.97062,0,0,0
58,2,FIXED,1/23/2018,15:49:38,1/23/2018,7:49:38,0,47.680836,N,-117.373391,W,567.45752,5.088953,248.598846,0,0,0
