"TimeStamp","axis1","axis2","axis3","steps","lux","inclineOff","inclineStanding","inclineSitting","inclineLying","vm"
2018-01-22 16:01:00,245,494,176,1,0,0,10,0,0,579
2018-01-22 16:01:10,9,85,56,0,36,0,10,0,0,103
2018-01-22 16:01:20,26,226,66,2,20,0,5,5,0,237
2018-01-22 16:01:30,0,0,0,0,29,0,0,10,0,0
2018-01-22 16:01:40,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:01:50,0,0,11,0,0,0,0,10,0,11
2018-01-22 16:02:00,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:02:10,0,4,7,0,0,0,0,10,0,9
2018-01-22 16:02:20,0,4,17,0,0,0,0,10,0,18
2018-01-22 16:02:30,84,320,140,2,0,0,10,0,0,360
2018-01-22 16:02:40,0,79,0,0,0,0,0,10,0,79
2018-01-22 16:02:50,0,14,0,0,0,0,3,7,0,14
2018-01-22 16:03:00,0,14,0,0,0,0,0,10,0,14
2018-01-22 16:03:10,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:03:20,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:03:30,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:03:40,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:03:50,0,15,34,0,0,0,0,10,0,38
2018-01-22 16:04:00,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:04:10,0,9,0,0,0,0,0,10,0,9
2018-01-22 16:04:20,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:04:30,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:04:40,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:04:50,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:05:00,16,82,12,0,0,0,0,10,0,85
2018-01-22 16:05:10,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:05:20,96,199,303,5,0,0,10,0,0,376
2018-01-22 16:05:30,15,7,44,0,26,0,0,10,0,48
2018-01-22 16:05:40,0,0,11,0,32,0,0,10,0,11
2018-01-22 16:05:50,0,0,0,0,31,0,0,10,0,0
2018-01-22 16:06:00,0,0,0,0,32,0,0,10,0,0
2018-01-22 16:06:10,0,0,0,0,32,0,0,10,0,0
2018-01-22 16:06:20,15,37,60,0,33,0,0,10,0,73
2018-01-22 16:06:30,0,42,7,0,0,0,0,10,0,43
2018-01-22 16:06:40,0,15,0,0,34,0,0,10,0,15
2018-01-22 16:06:50,0,0,0,0,36,0,0,10,0,0
2018-01-22 16:07:00,0,0,0,0,35,0,0,10,0,0
2018-01-22 16:07:10,33,121,112,1,34,0,1,9,0,169
2018-01-22 16:07:20,0,8,0,0,30,0,0,10,0,8
2018-01-22 16:07:30,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:07:40,6,2,8,0,0,0,0,10,0,11
2018-01-22 16:07:50,0,27,20,0,0,0,0,10,0,34
2018-01-22 16:08:00,2,40,25,1,0,0,0,10,0,48
2018-01-22 16:08:10,17,35,90,0,0,0,0,10,0,99
2018-01-22 16:08:20,26,164,143,1,50,0,0,10,0,220
2018-01-22 16:08:30,18,6,41,1,0,0,0,10,0,46
2018-01-22 16:08:40,0,0,11,0,0,0,0,10,0,11
2018-01-22 16:08:50,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:09:00,0,0,12,0,0,0,0,10,0,12
2018-01-22 16:09:10,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:09:20,0,26,40,0,0,0,0,10,0,48
2018-01-22 16:09:30,16,66,68,1,0,0,3,7,0,97
2018-01-22 16:09:40,36,154,33,1,0,0,0,10,0,162
2018-01-22 16:09:50,101,316,110,3,0,0,10,0,0,350
2018-01-22 16:10:00,139,296,202,1,0,0,10,0,0,385
2018-01-22 16:10:10,0,52,89,0,0,0,0,10,0,104
2018-01-22 16:10:20,0,0,2,0,0,0,0,10,0,2
2018-01-22 16:10:30,0,0,0,0,0,0,0,10,0,0
2018-01-22 16:10:40,27,53,170,2,0,0,0,10,0,181
2018-01-22 16:10:50,14,70,32,1,0,0,0,10,0,79
2018-01-22 16:11:00,108,183,130,3,0,0,10,0,0,250
2018-01-22 16:11:10,578,255,131,22,0,0,10,0,0,646
2018-01-22 16:11:20,334,273,209,15,0,0,10,0,0,480
2018-01-22 16:11:30,218,155,215,10,0,0,10,0,0,344
2018-01-22 16:11:40,373,256,220,13,0,0,10,0,0,504
2018-01-22 16:11:50,494,227,196,16,0,0,10,0,0,578
2018-01-22 16:12:00,458,293,147,16,0,0,10,0,0,564
2018-01-22 16:12:10,635,382,148,22,0,0,10,0,0,756
2018-01-22 16:12:20,660,419,127,23,0,0,10,0,0,793
2018-01-22 16:12:30,640,410,84,22,0,0,10,0,0,765
2018-01-22 16:12:40,726,386,98,23,0,0,10,0,0,829
2018-01-22 16:12:50,720,367,110,23,0,0,10,0,0,816
2018-01-22 16:13:00,704,413,97,22,0,0,10,0,0,822
2018-01-22 16:13:10,765,421,118,23,0,0,10,0,0,882
2018-01-22 16:13:20,753,418,71,23,0,0,10,0,0,865
2018-01-22 16:13:30,761,389,99,23,0,0,10,0,0,861
2018-01-22 16:13:40,741,380,65,24,0,0,10,0,0,836
2018-01-22 16:13:50,766,383,61,23,0,0,10,0,0,859
2018-01-22 16:14:00,784,404,68,23,0,0,10,0,0,885
2018-01-22 16:14:10,734,395,88,23,0,0,10,0,0,839
2018-01-22 16:14:20,753,390,61,23,0,0,10,0,0,851
2018-01-22 16:14:30,766,396,75,23,0,0,10,0,0,866
2018-01-22 16:14:40,779,398,68,23,0,0,10,0,0,878
2018-01-22 16:14:50,746,401,66,23,0,0,10,0,0,850
2018-01-22 16:15:00,733,489,128,21,0,0,10,0,0,891
2018-01-22 16:15:10,294,347,183,7,0,0,10,0,0,491
2018-01-22 16:15:20,199,306,347,3,0,0,10,0,0,504
2018-01-22 16:15:30,0,2,21,0,0,0,1,9,0,22
2018-01-22 16:15:40,0,17,151,0,0,0,10,0,0,152
2018-01-22 16:15:50,0,6,40,0,0,0,8,2,0,41
2018-01-22 16:16:00,0,110,45,0,0,0,5,5,0,119
2018-01-22 16:16:10,45,91,61,1,0,0,4,6,0,119
2018-01-22 16:16:20,0,15,0,0,0,0,3,7,0,15
2018-01-22 16:16:30,0,22,43,0,0,0,4,6,0,49
2018-01-22 16:16:40,3,68,8,0,0,0,7,3,0,69
2018-01-22 16:16:50,2,33,49,1,0,0,1,9,0,60
2018-01-22 16:17:00,0,0,0,0,0,0,8,2,0,0
2018-01-22 16:17:10,10,0,0,1,0,0,8,2,0,10
2018-01-22 16:17:20,0,0,0,0,0,0,2,8,0,0
2018-01-22 16:17:30,0,10,2,0,0,0,7,3,0,11
2018-01-22 16:17:40,0,9,20,0,0,0,7,3,0,22
2018-01-22 16:17:50,0,51,25,0,0,0,8,2,0,57
2018-01-22 16:18:00,0,0,0,0,0,0,7,3,0,0
2018-01-22 16:18:10,0,0,0,0,0,0,10,0,0,0
2018-01-22 16:18:20,0,0,0,0,0,0,10,0,0,0
2018-01-22 16:18:30,0,33,0,0,0,0,4,6,0,33
2018-01-22 16:18:40,10,9,0,0,0,0,8,2,0,14
2018-01-22 16:18:50,11,23,7,1,0,0,9,1,0,27
2018-01-22 16:19:00,22,8,38,1,0,0,1,9,0,45
2018-01-22 16:19:10,13,0,0,1,0,0,9,1,0,13
2018-01-22 16:19:20,3,0,0,0,0,0,10,0,0,3
2018-01-22 16:19:30,1,0,0,0,0,0,10,0,0,1
2018-01-22 16:19:40,0,8,0,0,0,0,10,0,0,8
2018-01-22 16:19:50,0,0,0,0,0,0,10,0,0,0
2018-01-22 16:20:00,0,0,0,0,0,0,10,0,0,0
2018-01-22 16:20:10,0,0,0,0,0,0,10,0,0,0
2018-01-22 16:20:20,0,0,0,0,0,0,9,1,0,0
2018-01-22 16:20:30,0,14,0,0,0,0,1,9,0,14
2018-01-22 16:20:40,0,15,0,0,0,0,4,6,0,15
2018-01-22 16:20:50,0,0,0,0,0,0,6,4,0,0
2018-01-22 16:21:00,0,0,0,0,0,0,9,1,0,0
2018-01-22 16:21:10,9,50,0,0,0,0,6,4,0,51
2018-01-22 16:21:20,36,27,0,1,0,0,10,0,0,45
2018-01-22 16:21:30,0,0,0,0,0,0,10,0,0,0
2018-01-22 16:21:40,0,0,0,0,0,0,10,0,0,0
2018-01-22 16:21:50,0,55,0,0,0,0,7,3,0,55
2018-01-22 16:22:00,0,73,75,0,0,0,2,8,0,105
2018-01-22 16:22:10,0,0,0,0,0,0,7,3,0,0
2018-01-22 16:22:20,0,0,0,0,0,0,5,5,0,0
2018-01-22 16:22:30,4,0,0,0,0,0,9,1,0,4
